Product_ID,Product_Category,User_Gender,return_probability
PROD00000000,Clothing,Male,0.5167440999739529
PROD00000001,Books,Female,0.566155866831285
PROD00000002,Toys,Female,0.503188466985236
PROD00000003,Toys,Male,0.5349966261736737
PROD00000004,Books,Female,0.507729652245082
PROD00000005,Electronics,Female,0.5552819869593308
PROD00000006,Clothing,Male,0.5649925293983348
PROD00000007,Electronics,Female,0.6184593610230174
PROD00000008,Home,Male,0.49806776742884995
PROD00000009,Clothing,Male,0.5252963319002615
PROD00000010,Toys,Female,0.4214487125558679
PROD00000011,Home,Male,0.4413276983157764
PROD00000012,Toys,Male,0.4386407016092277
PROD00000013,Electronics,Male,0.5572884542566187
PROD00000014,Electronics,Male,0.49997675086741605
PROD00000015,Electronics,Female,0.5012284797497424
PROD00000016,Clothing,Female,0.5007075377364721
PROD00000017,Electronics,Male,0.4787281048965056
PROD00000018,Books,Female,0.538868592082983
PROD00000019,Electronics,Female,0.5472557514278783
PROD00000020,Clothing,Female,0.4758540065139546
PROD00000021,Books,Female,0.5406761173674408
PROD00000022,Books,Female,0.5153892995840804
PROD00000023,Electronics,Female,0.557307328818537
PROD00000024,Toys,Male,0.5747848456262256
PROD00000025,Electronics,Female,0.4734836033576679
PROD00000026,Toys,Female,0.4443374016576849
PROD00000027,Home,Female,0.5765350771822103
PROD00000028,Toys,Male,0.41218519320056746
PROD00000029,Books,Female,0.4153180197158875
PROD00000030,Toys,Male,0.47207240888369506
PROD00000031,Electronics,Female,0.5563206216572129
PROD00000032,Toys,Female,0.530244737146666
PROD00000033,Home,Male,0.5133479454626232
PROD00000034,Toys,Male,0.4912044504218496
PROD00000035,Clothing,Female,0.5633114523394298
PROD00000036,Electronics,Female,0.5666347793147007
PROD00000037,Clothing,Female,0.5277492391388203
PROD00000038,Toys,Female,0.4775797062786234
PROD00000039,Toys,Female,0.42623198923897476
PROD00000040,Toys,Male,0.492170864560083
PROD00000041,Books,Male,0.49006968242516613
PROD00000042,Books,Female,0.5440355769699349
PROD00000043,Clothing,Male,0.44685682583421193
PROD00000044,Home,Female,0.5251431499283012
PROD00000045,Toys,Male,0.5004511937767482
PROD00000046,Home,Female,0.44987973542118526
PROD00000047,Home,Male,0.5222636482935432
PROD00000048,Electronics,Male,0.6285816042000743
PROD00000049,Clothing,Male,0.5015523477671603
PROD00000050,Books,Female,0.5316527356503404
PROD00000051,Toys,Female,0.5463622239151169
PROD00000052,Toys,Female,0.42247168654733486
PROD00000053,Clothing,Female,0.5550118146875579
PROD00000054,Home,Male,0.45760193180634123
PROD00000055,Home,Male,0.4878486452780003
PROD00000056,Electronics,Female,0.5837379820513492
PROD00000057,Books,Male,0.43420639634373925
PROD00000058,Home,Female,0.4125758214605125
PROD00000059,Electronics,Male,0.5092537704320945
PROD00000060,Books,Female,0.5668106316623184
PROD00000061,Home,Female,0.47025035872470217
PROD00000062,Clothing,Female,0.5293750774117385
PROD00000063,Clothing,Female,0.5324390626241075
PROD00000064,Books,Male,0.5644691018066482
PROD00000065,Toys,Male,0.43990265031688597
PROD00000066,Books,Female,0.5417838493117522
PROD00000067,Toys,Female,0.490403521995044
PROD00000068,Electronics,Male,0.5542477189992014
PROD00000069,Clothing,Female,0.5293164707021707
PROD00000070,Toys,Female,0.5411309875283263
PROD00000071,Toys,Female,0.4625855417586283
PROD00000072,Toys,Male,0.4905372356475772
PROD00000073,Clothing,Male,0.5691839899884135
PROD00000074,Toys,Female,0.5468982414300542
PROD00000075,Electronics,Male,0.505765588304957
PROD00000076,Electronics,Male,0.5548385309424229
PROD00000077,Books,Female,0.46582806390151077
PROD00000078,Toys,Male,0.4918691733540952
PROD00000079,Electronics,Male,0.5668192714818288
PROD00000080,Electronics,Male,0.5147347978550194
PROD00000081,Clothing,Male,0.6280669445528207
PROD00000082,Electronics,Male,0.49275137640366845
PROD00000083,Electronics,Female,0.508788727319901
PROD00000084,Books,Male,0.523044511857011
PROD00000085,Home,Male,0.5491571868971029
PROD00000086,Home,Female,0.4356205743712272
PROD00000087,Books,Female,0.6136336464862688
PROD00000088,Electronics,Female,0.44316367146434726
PROD00000089,Home,Male,0.5079353510479053
PROD00000090,Toys,Male,0.4593594834882726
PROD00000091,Toys,Female,0.4386009020788165
PROD00000092,Home,Female,0.3633727299463854
PROD00000093,Home,Male,0.5896283592167371
PROD00000094,Clothing,Female,0.5184958288744106
PROD00000095,Books,Male,0.5906288827911707
PROD00000096,Toys,Male,0.5619635649932437
PROD00000097,Toys,Female,0.42332090267327416
PROD00000098,Clothing,Female,0.4762389264522108
PROD00000099,Books,Male,0.5302067817326989
PROD00000100,Clothing,Female,0.5323343982150788
PROD00000101,Books,Male,0.5120349518712592
PROD00000102,Books,Female,0.5476668297758754
PROD00000103,Electronics,Female,0.5078311018499593
PROD00000104,Home,Female,0.44841453899223643
PROD00000105,Home,Female,0.5409879232319696
PROD00000106,Books,Male,0.5320652595737004
PROD00000107,Toys,Male,0.414232397644355
PROD00000108,Books,Male,0.4589710884934341
PROD00000109,Clothing,Male,0.5756656824534703
PROD00000110,Toys,Female,0.4619107400641274
PROD00000111,Home,Female,0.5960896664639969
PROD00000112,Clothing,Female,0.5241146072355007
PROD00000113,Clothing,Male,0.5179710348752292
PROD00000114,Electronics,Male,0.5589538647289675
PROD00000115,Toys,Female,0.49532337348669414
PROD00000116,Books,Female,0.48293354340217026
PROD00000117,Electronics,Male,0.5194900326336509
PROD00000118,Books,Female,0.5539787674922665
PROD00000119,Clothing,Male,0.5093542229521568
PROD00000120,Books,Female,0.4667756905315161
PROD00000121,Toys,Male,0.4187627757785596
PROD00000122,Home,Female,0.4919261316550154
PROD00000123,Electronics,Female,0.5499531596001145
PROD00000124,Books,Male,0.4819885111330702
PROD00000125,Home,Male,0.4402199124264807
PROD00000126,Home,Male,0.45177983710386627
PROD00000127,Books,Female,0.4926394795326677
PROD00000128,Clothing,Male,0.4651547474979283
PROD00000129,Toys,Male,0.4949713722083412
PROD00000130,Electronics,Male,0.4881074355219529
PROD00000131,Books,Male,0.5037734814529565
PROD00000132,Electronics,Female,0.49134918229803076
PROD00000133,Home,Female,0.4466807218228312
PROD00000134,Books,Male,0.5390053415779831
PROD00000135,Electronics,Female,0.5695254750533644
PROD00000136,Toys,Male,0.5374600805039564
PROD00000137,Electronics,Male,0.5750571398687497
PROD00000138,Clothing,Female,0.500909229089678
PROD00000139,Books,Female,0.404296874123418
PROD00000140,Home,Female,0.5271106922363947
PROD00000141,Clothing,Female,0.5058948866434395
PROD00000142,Electronics,Female,0.48484771475435323
PROD00000143,Electronics,Female,0.5118980523723259
PROD00000144,Toys,Male,0.4899988829411445
PROD00000145,Clothing,Female,0.5022330477857693
PROD00000146,Clothing,Female,0.5815675168504613
PROD00000147,Clothing,Female,0.5353159084845196
PROD00000148,Toys,Female,0.49976166636476194
PROD00000149,Toys,Male,0.5233890738818514
PROD00000150,Books,Female,0.43217657129522713
PROD00000151,Toys,Male,0.505139447068582
PROD00000152,Home,Female,0.4991475160432646
PROD00000153,Clothing,Female,0.5080677104113049
PROD00000154,Electronics,Male,0.4557635051492441
PROD00000155,Books,Female,0.557132108208105
PROD00000156,Home,Female,0.5322314146832318
PROD00000157,Books,Male,0.476642126637468
PROD00000158,Books,Male,0.5352453323892264
PROD00000159,Clothing,Male,0.5000489341822129
PROD00000160,Clothing,Female,0.5325441078906836
PROD00000161,Books,Female,0.540054725155823
PROD00000162,Toys,Female,0.4927335931791543
PROD00000163,Toys,Male,0.47144887860788903
PROD00000164,Electronics,Female,0.5229441304450744
PROD00000165,Books,Male,0.4769111799905139
PROD00000166,Books,Male,0.5081119177085422
PROD00000167,Books,Female,0.5504666223286765
PROD00000168,Toys,Female,0.47099911455933974
PROD00000169,Books,Female,0.5056439207886874
PROD00000170,Clothing,Male,0.5084999016158337
PROD00000171,Home,Female,0.5299482060919379
PROD00000172,Toys,Female,0.5497964771771953
PROD00000173,Toys,Male,0.5112567381579877
PROD00000174,Toys,Female,0.485045784081068
PROD00000175,Clothing,Female,0.560214023190091
PROD00000176,Electronics,Female,0.49696243797144163
PROD00000177,Toys,Female,0.5070094315040635
PROD00000178,Books,Male,0.6306908143702485
PROD00000179,Electronics,Male,0.5482786304974844
PROD00000180,Clothing,Female,0.6241337562675975
PROD00000181,Electronics,Female,0.5092687119442518
PROD00000182,Clothing,Male,0.49642056748436525
PROD00000183,Toys,Female,0.437274937360769
PROD00000184,Toys,Female,0.5312269639191946
PROD00000185,Books,Male,0.5019975754977496
PROD00000186,Clothing,Male,0.6029394695596647
PROD00000187,Home,Male,0.4679951980680275
PROD00000188,Clothing,Female,0.5058791836645257
PROD00000189,Clothing,Male,0.5645974857934687
PROD00000190,Books,Female,0.42131926963131416
PROD00000191,Toys,Male,0.5305611487208842
PROD00000192,Clothing,Male,0.5675650068946284
PROD00000193,Home,Female,0.5030421771852067
PROD00000194,Clothing,Female,0.5535305168444775
PROD00000195,Home,Male,0.5133131532502627
PROD00000196,Electronics,Male,0.5704989725362181
PROD00000197,Electronics,Male,0.44334446534765254
PROD00000198,Home,Female,0.3891517705704209
